Region,District Code,District,LONGITUDE,LATITUDE,Geohash,CELL_NAME
"Central",1,"Marina Esplanade Suntec",103.859724,1.294647,"w21z77","Cell_S115"
"Central",1,"Marina South",103.852592,1.282253,"w21z71","Cell_S290"
"Central",1,"Robinson Road Shenton Way",103.848408,1.276993,"w21z70","Cell_S351"
"Central",1,"Marina Esplanade Suntec",103.858814,1.292414,"w21z77","Cell_S352"
"Central",1,"Marina South",103.863460,1.269849,"w21z5r","Cell_S510"
"Central",1,"Marina South",103.859978,1.285205,"w21z73","Cell_S529"
"Central",1,"Robinson Road Shenton Way",103.848439,1.278701,"w21z70","Cell_S621"
"Central",1,"Raffles Place",103.849079,1.285047,"w21z71","Cell_S643"
"Central",2,"Prince Edward Anson Road",103.843715,1.273174,"w21z5p","Cell_S949"
"Central",2,"Prince Edward Anson Road",103.843715,1.273174,"w21z5p","Cell_S1032"
"Central",2,"Prince Edward Anson Road",103.845955,1.275857,"w21z70","Cell_S1058"
"Central",3,"Queenstown Commonwealth",103.815162,1.292420,"w21z67","Cell_S1117"
"Central",3,"Redhill Bukit Merah Alexandra",103.817465,1.283838,"w21z63","Cell_S1182"
"Central",4,"Habourfront Telok Blangah",103.814049,1.255080,"w21z4k","Cell_S1653"
"West",5,"Clementi",103.762236,1.321499,"w21z90","Cell_S1780"
"West",5,"Pasir Panjang Alexandra Kent Ridge",103.770853,1.299119,"w21z3k","Cell_S1854"
"West",5,"Pasir Panjang Alexandra Kent Ridge",103.774099,1.301473,"w21z3k","Cell_S1953"
"West",5,"Dover Buona Vista Singapore Polytechnic",103.781566,1.308118,"w21z3w","Cell_S2032"
"West",5,"Pasir Panjang Alexandra Kent Ridge",103.801279,1.273622,"w21z4p","Cell_S2042"
"West",5,"Clementi",103.761002,1.326275,"w21z91","Cell_S2051"
"West",5,"Clementi",103.771879,1.324898,"w21z93","Cell_S2071"
"West",5,"Dover Buona Vista Singapore Polytechnic",103.790015,1.297991,"w21z3u","Cell_S2077"
"West",5,"Pasir Panjang Alexandra Kent Ridge",103.770853,1.299119,"w21z3k","Cell_S2148"
"West",5,"Clementi",103.764423,1.314896,"w21z3p","Cell_S2190"
"West",5,"Clementi",103.764521,1.318450,"w21z90","Cell_S2282"
"West",5,"Clementi",103.751991,1.310324,"w21z2y","Cell_S2283"
"West",5,"Pasir Panjang Alexandra Kent Ridge",103.800998,1.272301,"w21z4p","Cell_S2325"
"Central",6,"Central Fire Station Hill Street",103.848024,1.290595,"w21z74","Cell_S2387"
"Central",6,"Central Fire Station Hill Street",103.850124,1.294094,"w21z75","Cell_S2424"
"Central",7,"Kampong Glam Beach Road",103.862360,1.302330,"w21z7m","Cell_S2644"
"Central",9,"Cavenagh Road Scotts Road Newton",103.831693,1.306135,"w21z6t","Cell_S2895"
"Central",9,"Cavenagh Road Scotts Road Newton",103.831693,1.306135,"w21z6t","Cell_S3066"
"Central",10,"Tanglin Road River Valley",103.825353,1.300592,"w21z6s","Cell_S3262"
"North",11,"Thomson Road",103.837492,1.340038,"w21zdg","Cell_S3543"
"North-East",11,"Novena",103.850104,1.318881,"w21ze0","Cell_S3589"
"North",11,"Bukit Timah old Turf Club",103.800876,1.337275,"w21zd5","Cell_S3678"
"North-East",12,"Balestier Bendemeer",103.863191,1.327904,"w21ze3","Cell_S3797"
"North-East",12,"Balestier Bendemeer",103.850772,1.328805,"w21ze1","Cell_S3919"
"North-East",12,"Balestier Bendemeer",103.844816,1.323315,"w21ze0","Cell_S3968"
"North-East",12,"Balestier Bendemeer",103.847404,1.326991,"w21ze1","Cell_S4111"
"North-East",13,"Woodleigh Potong Pasir Macpherson",103.874377,1.329269,"w21ze9","Cell_S4259"
"North-East",13,"Woodleigh Potong Pasir Macpherson",103.871573,1.326340,"w21ze9","Cell_S4260"
"North-East",13,"MacPherson Road",103.879535,1.331789,"w21zef","Cell_S4268"
"East",14,"Kallang Aljunied Geylang",103.885458,1.316446,"w21z7z","Cell_S4280"
"East",14,"Paya Lebar Malay Village Geylang Serai",103.895560,1.324896,"w21zs1","Cell_S4395"
"East",14,"Kembangan",103.907970,1.334484,"w21zs6","Cell_S4452"
"East",14,"Paya Lebar Malay Village Geylang Serai",103.892775,1.324277,"w21zs1","Cell_S4507"
"East",14,"Kembangan",103.909930,1.338115,"w21zse","Cell_S4533"
"East",14,"Kembangan",103.907467,1.332890,"w21zs6","Cell_S4656"
"East",14,"Kallang Aljunied Geylang",103.888832,1.320173,"w21zs0","Cell_S4675"
"East",14,"Stadium",103.888329,1.312825,"w21zkn","Cell_S4683"
"East",14,"Paya Lebar Malay Village Geylang Serai",103.901248,1.331550,"w21zs6","Cell_S4687"
"East",14,"Stadium",103.883119,1.306948,"w21z7v","Cell_S4732"
"East",14,"Paya Lebar Malay Village Geylang Serai",103.898320,1.334577,"w21zs6","Cell_S4769"
"East",15,"Siglap",103.929313,1.313905,"w21zkz","Cell_S4856"
"East",15,"Marine Parade",103.912186,1.302667,"w21zkt","Cell_S4920"
"East",15,"Marine Parade",103.924811,1.304210,"w21zkv","Cell_S4987"
"East",15,"Katong Joo Chiat",103.897421,1.315688,"w21zkp","Cell_S5048"
"East",16,"Singapore Expo Old Bedok Road Changi South",103.957383,1.320314,"w21zt8","Cell_S5385"
"East",16,"Singapore Expo Old Bedok Road Changi South",103.971768,1.335889,"w21ztg","Cell_S5524"
"East",16,"Singapore Expo Old Bedok Road Changi South",103.960174,1.331248,"w21ztd","Cell_S5529"
"East",16,"Singapore Expo Old Bedok Road Changi South",103.965656,1.337251,"w21ztg","Cell_S5588"
"East",16,"Bedok Chai Chee",103.936824,1.327167,"w21zt1","Cell_S5614"
"East",16,"Bedok Chai Chee",103.945482,1.318298,"w21zmr","Cell_S5621"
"East",16,"Singapore Expo Old Bedok Road Changi South",103.955537,1.321543,"w21zt8","Cell_S5623"
"East",16,"Bedok Chai Chee",103.933307,1.321291,"w21zt0","Cell_S5635"
"East",16,"Bedok Chai Chee",103.918065,1.330598,"w21zsd","Cell_S5638"
"East",16,"Singapore Expo Old Bedok Road Changi South",103.955537,1.321543,"w21zt8","Cell_S5662"
"East",16,"Bedok Chai Chee",103.922767,1.326820,"w21zsc","Cell_S5672"
"East",17,"Changi Airport",103.991779,1.361879,"w21zwr","Cell_S5756"
"East",17,"Changi Airport",103.980478,1.343651,"w21zwh","Cell_S5795"
"East",17,"Changi Coast",104.022301,1.364037,"w21zz0","Cell_S5817"
"East",17,"Changi Airport",103.991779,1.361879,"w21zwr","Cell_S5821"
"East",18,"Tampines Simei",103.944918,1.357072,"w21ztr","Cell_S6084"
"East",18,"Pasir Ris",103.961582,1.371997,"w21zv9","Cell_S6263"
"East",18,"Tampines Simei",103.957046,1.348045,"w21ztt","Cell_S6340"
"East",18,"Tampines Simei",103.935940,1.358815,"w21ztp","Cell_S6451"
"East",18,"Tampines Simei",103.935940,1.358815,"w21ztp","Cell_S6504"
"East",18,"Pasir Ris",103.958648,1.368998,"w21zv9","Cell_S6506"
"East",18,"Pasir Ris",103.955412,1.379833,"w21zve","Cell_S6567"
"East",18,"Pasir Ris",103.955412,1.379833,"w21zve","Cell_S6578"
"East",18,"Pasir Ris",103.942957,1.374144,"w21zv6","Cell_S6585"
"East",18,"Tampines Simei",103.956354,1.352975,"w21ztw","Cell_S6668"
"East",18,"Pasir Ris",103.956254,1.371783,"w21zv9","Cell_S6679"
"North-East",19,"Punggol",103.909882,1.392106,"w21zut","Cell_S7044"
"North-East",19,"Punggol",103.898841,1.415806,"w23bh3","Cell_S7148"
"North-East",19,"Hougang Serangoon Yio Chu Kang Kovan",103.888473,1.337075,"w21zs5","Cell_S7153"
"North-East",19,"Serangoon Central Serangoon Gardens",103.863652,1.349605,"w21zem","Cell_S7182"
"North-East",19,"Sengkang Buangkok",103.899327,1.394284,"w21zum","Cell_S7242"
"North-East",19,"Sengkang Buangkok",103.895589,1.383715,"w21zu5","Cell_S7259"
"North-East",19,"Punggol",103.898841,1.415806,"w23bh3","Cell_S7332"
"North-East",19,"Punggol",103.907842,1.405163,"w21zur","Cell_S7497"
"North-East",19,"Serangoon Central Serangoon Gardens",103.866701,1.365651,"w21zg8","Cell_S7613"
"North-East",19,"Hougang Serangoon Yio Chu Kang Kovan",103.886640,1.349052,"w21zev","Cell_S7699"
"North-East",19,"Serangoon Central Serangoon Gardens",103.871870,1.366040,"w21zg8","Cell_S7779"
"North-East",20,"Ang Mo Kio",103.835961,1.371775,"w21zfc","Cell_S7853"
"North-East",20,"Bishan Thomson Road",103.854762,1.344237,"w21zek","Cell_S7905"
"North-East",20,"Ang Mo Kio",103.838988,1.371739,"w21zfc","Cell_S7981"
"North-East",20,"Bishan Thomson Road",103.837616,1.354797,"w21zdy","Cell_S7984"
"North-East",20,"Ang Mo Kio",103.857628,1.372026,"w21zg3","Cell_S8102"
"North-East",20,"Ang Mo Kio",103.858942,1.365684,"w21zg2","Cell_S8252"
"North-East",20,"Ang Mo Kio",103.843236,1.368573,"w21zg1","Cell_S8280"
"North-East",20,"Bishan Thomson Road",103.818922,1.359248,"w21zdr","Cell_S8295"
"North-East",20,"Bishan Thomson Road",103.860428,1.341040,"w21zek","Cell_S8349"
"North",21,"Bukit Timah King Albert Park",103.775842,1.329098,"w21z93","Cell_S8365"
"North",21,"Bukit Timah King Albert Park",103.768569,1.341786,"w21z9k","Cell_S8454"
"North",21,"Bukit Timah King Albert Park",103.769290,1.335954,"w21z97","Cell_S8485"
"North",21,"Bukit Timah King Albert Park",103.768569,1.341786,"w21z9k","Cell_S8534"
"West",22,"Jurong East",103.740055,1.341785,"w21z8s","Cell_S8657"
"West",22,"Jurong Tuas",103.630750,1.307988,"w21xqn","Cell_S8765"
"West",22,"Jurong West Lakeside Boon Lay",103.704543,1.345921,"w21xxv","Cell_S8840"
"West",22,"Taman Jurong",103.720166,1.324541,"w21z81","Cell_S8857"
"West",22,"Jurong East",103.739993,1.302408,"w21z2t","Cell_S9124"
