MAST,Voice QoS,Call Count_Sum,LONGITUDE,LATITUDE,ADDRESS,SITE_TYPE,CELL_ID,CELL_NAME
"anon_S0",0.997000,572260.000000,106.599820,10.712590,"So C11/28, quoc lo 1A, ap 3, xa Tan Kien, huyen Binh Chanh, thanh pho Ho Chi Minh.","Outdoor","452-01-20050-5401","Cell_S0"
"anon_S1",0.998000,568838.000000,106.729040,10.871680,"115B/5 KP5 P.Tam Binh Q.Thu Duc","Outdoor","452-01-20046-4929","Cell_S1"
"anon_S2",0.997000,497808.000000,106.671160,10.759300,"97-Nguyen Duy Duong  Q.5","Outdoor","452-01-20058-2320","Cell_S2"
"anon_S3",0.996000,471179.000000,106.665350,10.809700,"6B  Cuu Long  P.2  TB","Outdoor","452-01-20042-4513","Cell_S3"
"anon_S4",0.996000,458370.000000,106.656000,10.727200,"A11/1 ap 2 xa Binh Hung  Binh Chanh","Outdoor","452-01-20050-5406","Cell_S4"
"anon_S5",0.997000,431721.000000,106.665950,10.755471,"Nha Thieu nhi Q.5 Ngo Quyen Q.5 TP.HCM","Outdoor","452-01-20010-2321","Cell_S5"
"anon_S6",0.997000,423574.000000,106.651300,10.785130,"360A lAc Long quan  P.8  Tan Binh","Outdoor","452-01-20160-4529","Cell_S6"
"anon_S7",0.997000,395022.000000,106.664470,10.781580,"DD19 Duong Bach Ma  Phuong 15  Quan 10  TP. HCM.","Outdoor","452-01-20060-3444","Cell_S7"
"anon_S8",0.997000,387159.000000,106.699400,10.770900,"171-175 Ham Nghi, Ben Thanh Q.1_LH A.Qui 0902005237","Outdoor","452-01-20000-1034","Cell_S8"
"anon_S9",0.995000,370735.000000,106.658030,10.837960,"65/6 Le Van Tho P.11 Q.Go Vap","Outdoor","452-01-20180-5119","Cell_S9"
"anon_S10",0.997000,369192.000000,106.684000,10.783970,"180-182 Ly Chanh Thang, Q.3","Outdoor","452-01-20034-1817","Cell_S10"
