LOCATION,EVENT_SUCCESS_Mean,EVENT_DURATION_Mean,Record_Count,Region,District,LONGITUDE,LATITUDE
"Cell_S0",1.000000,185.812500,16,"West","Jurong East",103.748983,1.333136
"Cell_S1",1.000000,10.000000,1,"Central","Orchard Road",103.834676,1.302424
"Cell_S10",1.000000,59.960000,25,"Central","Tanglin Road River Valley",103.810348,1.305214
"Cell_S100",0.956522,76.478261,23,"Central","Marina South",103.854157,1.279430
"Cell_S1000",1.000000,19.000000,1,"Central","Tanjong Pagar",103.842868,1.273112
"Cell_S10002",1.000000,115.000000,7,"North","Yew Tee Choa Chu Kang",103.752078,1.378660
"Cell_S1001",1.000000,147.600000,5,"Central","Prince Edward Anson Road",103.847246,1.274294
"Cell_S10010",1.000000,75.333333,3,"North","Yew Tee Choa Chu Kang",103.742586,1.393673
"Cell_S10012",1.000000,14.000000,1,"West","Bukit Batok Bukit Gombak",103.749391,1.346671
"Cell_S1002",1.000000,109.076923,13,"Central","Prince Edward Anson Road",103.844470,1.273828
"Cell_S1003",0.968750,139.093750,32,"Central","Tanjong Pagar",103.841359,1.279861
"Cell_S10032",1.000000,30.000000,1,"West","Bukit Batok Bukit Gombak",103.753704,1.347458
"Cell_S10034",1.000000,58.500000,2,"West","Bukit Batok Bukit Gombak",103.756605,1.340348
"Cell_S10035",1.000000,106.000000,1,"North","Bukit Panjang",103.775222,1.371843
"Cell_S1004",1.000000,186.600000,5,"Central","Tanjong Pagar",103.841999,1.281866
"Cell_S10046",1.000000,12.000000,1,"West","Bukit Batok Bukit Gombak",103.747635,1.362167
"Cell_S1005",1.000000,12.000000,1,"Central","Tanjong Pagar",103.844282,1.279935
"Cell_S10055",0.000000,973.000000,1,"West","Bukit Batok Bukit Gombak",103.750799,1.360028
"Cell_S1006",1.000000,111.666667,3,"Central","Tanjong Pagar",103.842134,1.278653
"Cell_S10061",1.000000,43.000000,1,"West","Hillview",103.760474,1.356836
"Cell_S1007",1.000000,101.875000,8,"Central","Tanjong Pagar",103.841999,1.281866
"Cell_S10074",1.000000,4.000000,1,"North","Yew Tee Choa Chu Kang",103.743360,1.389106
"Cell_S10079",1.000000,14.000000,1,"North","Yew Tee Choa Chu Kang",103.741542,1.391847
"Cell_S1008",1.000000,196.500000,4,"Central","Tanjong Pagar",103.841733,1.274308
"Cell_S10081",1.000000,53.000000,1,"North","Yew Tee Choa Chu Kang",103.746603,1.392298
"Cell_S1009",1.000000,17.000000,3,"Central","Tanjong Pagar",103.841733,1.274308
"Cell_S10090",1.000000,339.000000,2,"West","Bukit Batok Bukit Gombak",103.754796,1.343514
"Cell_S101",1.000000,42.516129,31,"Central","Marina South",103.854157,1.279430
"Cell_S1010",1.000000,225.500000,4,"Central","Prince Edward Anson Road",103.845955,1.275857
"Cell_S10102",1.000000,49.000000,1,"North","Bukit Panjang",103.775452,1.374434
"Cell_S10107",1.000000,69.000000,4,"North","Yew Tee Choa Chu Kang",103.749694,1.393588
"Cell_S1011",1.000000,42.500000,2,"Central","Prince Edward Anson Road",103.845955,1.275857
"Cell_S10116",1.000000,31.000000,1,"North","Yew Tee Choa Chu Kang",103.746047,1.398627
"Cell_S10118",1.000000,74.000000,2,"West","Bukit Batok Bukit Gombak",103.755344,1.348695
"Cell_S1012",0.955357,157.473214,112,"Central","Tanjong Pagar",103.842868,1.273112
"Cell_S1013",0.947368,90.473684,19,"Central","Tanjong Pagar",103.842868,1.273112
"Cell_S10131",1.000000,286.750000,8,"North","Bukit Panjang",103.764245,1.385559
"Cell_S10134",1.000000,531.125000,8,"North","Bukit Panjang",103.768889,1.374023
"Cell_S1014",1.000000,218.000000,5,"Central","Prince Edward Anson Road",103.845955,1.275857
"Cell_S10146",1.000000,211.500000,2,"North","Bukit Panjang",103.768139,1.377879
"Cell_S10147",1.000000,339.500000,2,"West","Bukit Batok Bukit Gombak",103.750617,1.362135
"Cell_S10149",1.000000,167.000000,1,"West","Bukit Batok Bukit Gombak",103.760405,1.341081
"Cell_S1015",0.857143,91.214286,14,"Central","Prince Edward Anson Road",103.843866,1.276975
"Cell_S10151",1.000000,47.666667,3,"West","Bukit Batok Bukit Gombak",103.757984,1.351164
"Cell_S1016",1.000000,38.000000,1,"Central","Prince Edward Anson Road",103.846245,1.275095
"Cell_S10162",1.000000,63.000000,1,"North","Yew Tee Choa Chu Kang",103.746603,1.392298
"Cell_S1017",1.000000,60.000000,2,"Central","Tanjong Pagar",103.842868,1.273112
"Cell_S1018",1.000000,318.500000,6,"Central","Prince Edward Anson Road",103.844470,1.273828
"Cell_S10189",1.000000,18.666667,3,"West","Bukit Batok Bukit Gombak",103.752592,1.354465
"Cell_S1019",0.857143,104.190476,21,"Central","Tanjong Pagar",103.840335,1.276586
"Cell_S102",1.000000,133.000000,2,"Central","Marina South",103.854157,1.279430
"Cell_S1020",1.000000,116.857143,7,"Central","Prince Edward Anson Road",103.845217,1.274852
