MID,CHURN,CALL_CENTRE_CALLS,MFTR,EXTERNAL_CONGESTION_ERRORS,NORMAL_CALLS,SUBSCRIBER_ERRORS,QOS_CONGESTION,QOS_SUBSCRIBER,QOS_GROUP,USAGE_DIRECTION,EVENT_TYPE_DATA_USAGE_DIRECTION,EVENT_TYPE_INCOMING_USAGE_DIRECT,EVENT_TYPE_OUTGOING_USAGE_DIRECT,EVENT_TYPE_SMS_USAGE_DIRECTION,OUTGOING_OVERALL,INCOMING_OVERALL,SMS_OVERALL,DATA_OVERALL,USAGE_LIFESTYLE,LIFESTYLE
6,"0",4,"Apple",1,276,0,0.003623,0.000000,"Good",1.786375,5.232704,0.947917,0.988814,1.762438,-0.311322,-0.183362,-0.500881,-0.135116,"Other Usage","Daily Grinder"
7,"0",,"Apple",3,292,0,0.010274,0.000000,"Fair",1.077615,4.495595,0.309524,0.361111,0.221843,0.043953,-0.415444,-0.641161,-0.116888,"Other Usage","Daily Grinder"
8,"0",3,"Apple",0,585,0,0.000000,0.000000,"Good",0.663712,,0.354885,0.228704,0.568306,0.263904,0.497745,-0.706658,-1.000000,"Voice Caller","Norm Peterson"
9,"0",1,"LG",2,157,0,0.012739,0.000000,"Fair",2.719690,,3.177778,2.867647,2.666667,-0.488589,-0.478049,-0.708921,-1.000000,"No Data Usage","Norm Peterson"
11,"0",,"Samsung",14,989,0,0.014156,0.000000,"Fair",1.812770,5.233258,1.065860,0.952020,1.812714,1.361902,0.806402,0.296628,-0.090643,"High SMS","Undef"
14,"0",,"Samsung",0,157,0,0.000000,0.000000,"Good",0.954027,,0.433333,1.147059,1.281690,-0.519837,-0.687356,-0.703611,-1.000000,"No Data Usage","Undef"
16,"0",,"Samsung",2,558,0,0.003584,0.000000,"Good",0.273539,,0.495238,0.598916,0.000000,0.409182,0.076579,-0.719183,-1.000000,"Voice Caller","Norm Peterson"
21,"0",,"RIM",0,410,0,0.000000,0.000000,"Good",0.738892,0.339869,0.544186,0.841905,1.229609,-0.173221,0.419827,1.008996,-0.704058,"High SMS","Daily Grinder"
23,"0",,"Motorola",0,30,0,0.000000,0.000000,"Good",0.412698,,0.000000,1.238095,0.000000,-0.779276,-0.840453,-0.720696,-1.000000,"Low Overall","Homebody"
24,"0",8,"HTC",0,363,0,0.000000,0.000000,"Good",1.535031,3.229814,1.083333,0.973568,0.853410,-0.043112,-0.207968,-0.512804,-0.428645,"Voice Caller","Daily Grinder"
27,"0",2,"Apple",0,244,0,0.000000,0.000000,"Good",2.313153,5.235294,0.846743,1.748538,1.422038,-0.330227,-0.206164,2.110323,-0.082153,"High SMS","Daily Grinder"
28,"0",,"Apple",0,526,0,0.000000,0.000000,"Good",1.437760,5.229213,1.533019,1.107623,0.756704,0.063754,0.918940,-0.177771,-0.096945,"High Overall","Daily Grinder"
29,"0",1,"RIM",3,156,0,0.019231,0.000000,"Poor",0.112434,,0.222222,0.051587,0.175926,-0.546599,-0.395657,0.121718,-1.000000,"No Data Usage","Daily Grinder"
32,"0",,"Samsung",0,42,0,0.000000,0.000000,"Good",0.380372,,0.333333,0.298851,0.889303,-0.730966,-0.749232,-0.602947,-1.000000,"No Data Usage","Homebody"
35,"0",,"Apple",0,632,0,0.000000,0.000000,"Good",0.655096,,0.814815,0.864421,0.941147,0.739790,0.779966,1.116654,-1.000000,"High SMS","Daily Grinder"
36,"0",,"RIM",0,11,0,0.000000,0.000000,"Good",1.341864,1.147059,0.000000,3.250000,0.970399,-0.872493,-0.826820,-0.651387,-0.736734,"Other Usage","Undef"
38,"0",,"Apple",0,149,0,0.000000,0.000000,"Good",0.000000,0.000000,0.000000,0.000000,0.000000,-0.535561,-0.326452,0.830751,-0.691181,"High SMS","Daily Grinder"
40,"0",1,"RIM",0,36,1,0.000000,0.027778,"Poor",1.969697,,0.787879,0.787879,4.333333,-0.834832,-0.689277,-0.700604,-1.000000,"No Data Usage","Homebody"
41,"0",6,"Apple",7,748,0,0.009358,0.000000,"Fair",1.338847,3.627160,0.682971,0.683333,0.926963,1.215045,0.224783,0.378209,-0.085679,"High SMS","Undef"
42,"1",,"LG",2,210,0,0.009524,0.000000,"Fair",0.000000,0.000000,0.000000,0.000000,0.000000,-0.349283,-0.469634,1.361231,-0.496646,"High SMS","Daily Grinder"
44,"1",,"Samsung",0,159,0,0.000000,0.000000,"Good",0.485168,,0.382353,0.581301,0.491850,-0.519205,-0.455827,0.202126,-0.753750,"High SMS","Daily Grinder"
45,"0",1,"Samsung",1,500,0,0.002000,0.000000,"Good",1.667282,,1.650794,1.684385,1.666667,0.615384,-0.138792,-0.703365,-0.708388,"Voice Caller","Daily Grinder"
47,"0",,"Apple",0,7,0,0.000000,0.000000,"Good",0.000000,,0.000000,0.000000,0.000000,-0.879373,-0.819766,-0.578699,-1.000000,"No Data Usage","Homebody"
48,"0",1,"Apple",0,238,0,0.000000,0.000000,"Good",1.080467,,0.605735,0.375556,3.340576,-0.316611,-0.321798,0.473093,-0.716303,"High SMS","Daily Grinder"
50,"0",2,"Apple",4,503,0,0.007952,0.000000,"Fair",1.725626,4.245387,1.336449,1.757114,1.289178,0.717324,-0.027766,-0.352852,-0.035985,"Other Usage","Daily Grinder"
51,"1",,"Nokia",1,14,0,0.071429,0.000000,"Poor",,,,,,-0.848783,-0.821406,-0.653357,-1.000000,"No Data Usage","Homebody"
53,"0",,"HTC",2,215,0,0.009302,0.000000,"Fair",2.238769,,2.063492,2.824405,1.828411,-0.313625,-0.515094,0.392470,-0.557828,"High SMS","Daily Grinder"
54,"0",,"RIM",0,456,0,0.000000,0.000000,"Good",0.939465,,1.267057,1.526984,0.963818,0.151419,0.519826,2.691958,-1.000000,"High SMS","Daily Grinder"
55,"0",,"LG",4,767,0,0.005215,0.000000,"Good",1.460176,2.630952,1.102207,0.952496,1.155049,0.763207,1.090955,2.586994,-0.705761,"High SMS","Undef"
57,"0",,"RIM",0,27,0,0.000000,0.000000,"Good",0.000000,,0.000000,0.000000,0.000000,-0.823565,-0.796998,-0.384827,-1.000000,"No Data Usage","Homebody"
58,"0",9,"Apple",0,82,0,0.000000,0.000000,"Good",3.357064,5.179365,0.764706,1.213333,0.961250,-0.652009,-0.723684,-0.316473,-0.121438,"Other Usage","Daily Grinder"
59,"0",,"Apple",0,168,0,0.000000,0.000000,"Good",2.748849,,4.746032,3.200758,0.299757,-0.414938,-0.628696,-0.010717,-1.000000,"No Data Usage","Norm Peterson"
60,"0",,"Apple",1,177,0,0.005650,0.000000,"Good",0.783241,,0.747126,0.693333,0.909263,-0.457820,-0.501324,-0.507109,-1.000000,"No Data Usage","Daily Grinder"
63,"0",,"Nokia",0,65,0,0.000000,0.000000,"Good",1.185185,,1.111111,1.000000,1.444444,-0.841014,-0.552213,-0.727604,-1.000000,"No Data Usage","Homebody"
64,"0",5,"Apple",6,1232,0,0.004870,0.000000,"Good",1.087541,,1.307300,0.780919,1.174404,1.405537,2.155430,-0.280072,-1.000000,"Voice Caller","Delivering the Goods"
65,"0",,"Apple",0,233,0,0.000000,0.000000,"Good",1.195699,,1.250000,0.587097,1.750000,-0.149100,-0.493606,-0.645821,-1.000000,"Voice Caller","Norm Peterson"
69,"0",,"Samsung",0,175,0,0.000000,0.000000,"Good",1.548028,,2.166667,1.504630,0.972789,-0.533412,-0.371253,-0.708114,-1.000000,"No Data Usage","Daily Grinder"
70,"0",,"Samsung",0,102,0,0.000000,0.000000,"Good",1.551362,,0.577778,2.379085,1.697222,-0.636206,-0.648432,-0.662488,-1.000000,"No Data Usage","Daily Grinder"
72,"0",,"RIM",0,130,0,0.000000,0.000000,"Good",1.015488,,1.564815,1.324074,0.157576,-0.556130,-0.588451,-0.678575,-1.000000,"No Data Usage","Daily Grinder"
75,"0",,"Apple",0,11,0,0.000000,0.000000,"Good",2.352900,,4.333333,0.722222,2.003145,-0.859372,-0.826718,-0.668014,-1.000000,"No Data Usage","Homebody"
77,"0",1,"Apple",0,335,0,0.000000,0.000000,"Good",0.935189,,1.049479,1.083333,0.672755,-0.193847,0.039236,-0.646332,-1.000000,"Voice Caller","Daily Grinder"
80,"0",,"LG",0,147,0,0.000000,0.000000,"Good",1.797529,,1.639640,1.871212,1.881735,-0.423618,-0.565003,-0.423188,-1.000000,"No Data Usage","Norm Peterson"
82,"0",,"Apple",0,174,0,0.000000,0.000000,"Good",1.885244,2.600000,2.201058,1.098592,1.641328,-0.581747,-0.276723,-0.279805,-0.748959,"Other Usage","Daily Grinder"
88,"0",,"Apple",0,90,0,0.000000,0.000000,"Good",1.502737,,1.733333,0.756614,2.018265,-0.581953,-0.715057,-0.657641,-1.000000,"No Data Usage","Norm Peterson"
89,"0",,"Apple",0,247,0,0.000000,0.000000,"Good",1.146785,,2.272358,1.572271,0.742509,-0.346012,-0.049821,-0.606203,-1.000000,"No Data Usage","Norm Peterson"
97,"0",,"",0,1,0,0.000000,0.000000,"Good",0.000000,,0.000000,,0.000000,-1.000000,-0.836333,-0.726695,-1.000000,"Low Overall","Homebody"
98,"0",,"Apple",0,223,0,0.000000,0.000000,"Good",3.898462,,3.345029,3.134752,5.215605,-0.309884,-0.247173,-0.161959,-1.000000,"No Data Usage","Daily Grinder"
99,"0",,"Apple",1,284,0,0.003521,0.000000,"Good",0.879577,,1.705674,1.047930,0.764706,-0.310205,-0.073779,-0.457643,-1.000000,"No Data Usage","Daily Grinder"
100,"0",,"Apple",0,72,0,0.000000,0.000000,"Good",0.528408,,0.393939,0.288889,0.902396,-0.639438,-0.709957,-0.382370,-1.000000,"No Data Usage","Norm Peterson"
101,"1",,"Apple",0,22,0,0.000000,0.000000,"Good",1.683734,,1.083333,1.805556,2.162313,-0.821679,-0.819716,0.006065,-1.000000,"No Data Usage","Undef"
104,"0",2,"Apple",1,373,0,0.002681,0.000000,"Good",1.254182,,0.599291,0.953333,2.209921,0.402248,-0.267391,-0.464709,-1.000000,"Voice Caller","Daily Grinder"
105,"0",,"RIM",1,147,0,0.006803,0.000000,"Fair",1.619457,,1.444444,1.428571,1.985356,-0.506764,-0.636441,-0.478085,-1.000000,"No Data Usage","Homebody"
106,"0",20,"LG",0,88,0,0.000000,0.000000,"Good",0.343456,,0.333333,0.000000,1.040490,-0.657880,-0.632780,-0.554488,-1.000000,"No Data Usage","Norm Peterson"
107,"1",,"Samsung",0,261,0,0.000000,0.000000,"Good",2.353417,,2.284848,1.634731,3.140673,-0.085028,-0.425188,-0.016679,-1.000000,"No Data Usage","Daily Grinder"
109,"0",,"Samsung",0,7,0,0.000000,0.000000,"Good",0.000000,,0.000000,0.000000,0.000000,-0.881940,-0.814510,-0.724962,-1.000000,"Low Overall","Homebody"
110,"0",3,"Apple",2,266,0,0.007519,0.000000,"Fair",0.704259,,0.624000,1.045977,1.147059,-0.276980,0.006928,-0.576067,-1.000000,"No Data Usage","Daily Grinder"
113,"0",2,"Apple",0,135,0,0.000000,0.000000,"Good",1.096393,,1.159624,1.108527,1.021027,-0.722978,-0.380385,-0.503969,-1.000000,"No Data Usage","Norm Peterson"
117,"0",,"Samsung",0,39,0,0.000000,0.000000,"Good",0.968671,,1.083333,1.733333,0.089347,-0.778351,-0.801974,-0.687850,-1.000000,"No Data Usage","Homebody"
119,"0",,"RIM",1,506,0,0.001976,0.000000,"Good",1.008756,,1.115880,1.000000,0.910389,0.065045,0.627784,-0.164314,-1.000000,"No Data Usage","Daily Grinder"
122,"0",,"Apple",0,147,0,0.000000,0.000000,"Good",0.944048,,0.108333,0.894180,1.829630,-0.644391,-0.415818,-0.680540,-1.000000,"No Data Usage","Norm Peterson"
124,"0",,"LG",6,431,0,0.013921,0.000000,"Fair",1.391128,,1.967687,2.524934,1.071890,-0.164887,0.803147,1.034297,-1.000000,"High SMS","Daily Grinder"
126,"0",,"Nokia",2,114,0,0.017544,0.000000,"Poor",4.250794,,4.333333,1.919048,6.500000,-0.530321,-0.629488,-0.708994,-1.000000,"No Data Usage","Daily Grinder"
128,"0",,"LG",0,23,0,0.000000,0.000000,"Good",0.846394,,0.866667,0.228070,1.444444,-0.799138,-0.807963,-0.715233,-1.000000,"Low Overall","Homebody"
130,"0",8,"Apple",1,464,0,0.002155,0.000000,"Good",0.991988,,0.821053,1.360239,0.794672,0.097338,0.432681,1.013416,-1.000000,"High SMS","Daily Grinder"
132,"0",1,"Apple",0,306,0,0.000000,0.000000,"Good",0.746229,,0.449686,0.750825,1.038177,0.024672,-0.162184,0.303482,-1.000000,"High SMS","Daily Grinder"
135,"1",,"LG",0,123,0,0.000000,0.000000,"Good",0.000000,,0.000000,0.000000,0.000000,-0.783751,-0.358319,-0.724761,-1.000000,"No Data Usage","Undef"
139,"0",3,"LG",1,477,0,0.002096,0.000000,"Good",0.850473,,1.205298,1.017007,0.329114,0.404347,0.215097,-0.693059,-1.000000,"Voice Caller","Daily Grinder"
140,"0",,"Samsung",0,169,0,0.000000,0.000000,"Good",2.006256,,2.449275,1.432507,2.136986,-0.371268,-0.650567,-0.685163,-1.000000,"No Data Usage","Homebody"
141,"0",,"Samsung",0,112,0,0.000000,0.000000,"Good",2.903626,,7.583333,2.860000,1.171171,-0.531865,-0.565467,-0.711675,-1.000000,"No Data Usage","Daily Grinder"
142,"0",,"RIM",0,74,0,0.000000,0.000000,"Good",1.244614,,1.203704,1.691057,0.839080,-0.702510,-0.717848,-0.489721,-1.000000,"No Data Usage","Undef"
143,"0",7,"Apple",0,126,0,0.000000,0.000000,"Good",1.060343,,1.547619,1.130435,0.502976,-0.507677,-0.762350,-0.218225,-1.000000,"No Data Usage","Daily Grinder"
144,"0",1,"RIM",2,178,0,0.011236,0.000000,"Fair",1.205614,1.133956,1.140351,0.920833,1.627314,-0.188318,-0.702588,0.626042,-0.694206,"High SMS","Daily Grinder"
146,"1",,"Samsung",9,238,0,0.037815,0.000000,"Poor",0.837847,,0.444444,0.485981,2.420961,-0.101884,-0.318683,2.566397,-1.000000,"High SMS","Norm Peterson"
148,"0",2,"HTC",0,170,0,0.000000,0.000000,"Good",0.784172,,0.582090,0.757282,1.013146,-0.490883,-0.412864,-0.580520,-1.000000,"No Data Usage","Daily Grinder"
150,"0",8,"Apple",1,238,0,0.004202,0.000000,"Good",1.662485,,2.379085,1.951654,0.656716,-0.200075,-0.412142,-0.292896,-1.000000,"No Data Usage","Daily Grinder"
151,"0",2,"Apple",7,814,0,0.008600,0.000000,"Fair",0.590475,,0.891632,1.010182,0.460085,1.434037,0.663899,0.503501,-1.000000,"High SMS","Delivering the Goods"
154,"0",5,"Apple",0,249,0,0.000000,0.000000,"Good",1.176488,,0.705426,1.090703,1.733333,-0.309538,-0.357305,-0.611481,-1.000000,"No Data Usage","Daily Grinder"
155,"0",,"Apple",2,128,0,0.015625,0.000000,"Poor",0.840161,,1.426160,0.525253,0.569071,-0.768689,-0.340453,-0.299273,-1.000000,"No Data Usage","Norm Peterson"
156,"0",,"Samsung",0,87,0,0.000000,0.000000,"Good",2.511574,,6.500000,0.812500,0.222222,-0.571745,-0.808290,-0.711693,-1.000000,"No Data Usage","Homebody"
157,"0",6,"Apple",1,520,0,0.001923,0.000000,"Good",0.900653,,0.558594,1.117725,1.025641,0.201046,0.725530,-0.229132,-1.000000,"Voice Caller","Norm Peterson"
